dt_abertura;Year;Month;Day
20/12/1942;1942;dez;20
21/12/1942;1942;dez;21
22/12/1942;1942;dez;22
23/12/1942;1942;dez;23
24/12/1942;1942;dez;24
25/12/1942;1942;dez;25
26/12/1942;1942;dez;26
27/12/1942;1942;dez;27
28/12/1942;1942;dez;28
29/12/1942;1942;dez;29
30/12/1942;1942;dez;30
31/12/1942;1942;dez;31
01/01/1943;1943;jan;1
02/01/1943;1943;jan;2
03/01/1943;1943;jan;3
04/01/1943;1943;jan;4
05/01/1943;1943;jan;5
06/01/1943;1943;jan;6
07/01/1943;1943;jan;7
08/01/1943;1943;jan;8
09/01/1943;1943;jan;9
10/01/1943;1943;jan;10
11/01/1943;1943;jan;11
12/01/1943;1943;jan;12
13/01/1943;1943;jan;13
14/01/1943;1943;jan;14
15/01/1943;1943;jan;15
16/01/1943;1943;jan;16
17/01/1943;1943;jan;17
18/01/1943;1943;jan;18
19/01/1943;1943;jan;19
20/01/1943;1943;jan;20
21/01/1943;1943;jan;21
22/01/1943;1943;jan;22
23/01/1943;1943;jan;23
24/01/1943;1943;jan;24
25/01/1943;1943;jan;25
26/01/1943;1943;jan;26
27/01/1943;1943;jan;27
28/01/1943;1943;jan;28
29/01/1943;1943;jan;29
30/01/1943;1943;jan;30
31/01/1943;1943;jan;31
01/02/1943;1943;fev;1
02/02/1943;1943;fev;2
03/02/1943;1943;fev;3
04/02/1943;1943;fev;4
05/02/1943;1943;fev;5
06/02/1943;1943;fev;6
07/02/1943;1943;fev;7
08/02/1943;1943;fev;8
09/02/1943;1943;fev;9
10/02/1943;1943;fev;10
11/02/1943;1943;fev;11
12/02/1943;1943;fev;12
13/02/1943;1943;fev;13
14/02/1943;1943;fev;14
15/02/1943;1943;fev;15
16/02/1943;1943;fev;16
17/02/1943;1943;fev;17
18/02/1943;1943;fev;18
19/02/1943;1943;fev;19
20/02/1943;1943;fev;20
21/02/1943;1943;fev;21
22/02/1943;1943;fev;22
23/02/1943;1943;fev;23
24/02/1943;1943;fev;24
25/02/1943;1943;fev;25
26/02/1943;1943;fev;26
27/02/1943;1943;fev;27
28/02/1943;1943;fev;28
01/03/1943;1943;mar;1
02/03/1943;1943;mar;2
03/03/1943;1943;mar;3
04/03/1943;1943;mar;4
05/03/1943;1943;mar;5
06/03/1943;1943;mar;6
07/03/1943;1943;mar;7
08/03/1943;1943;mar;8
09/03/1943;1943;mar;9
10/03/1943;1943;mar;10
11/03/1943;1943;mar;11
12/03/1943;1943;mar;12
13/03/1943;1943;mar;13
14/03/1943;1943;mar;14
15/03/1943;1943;mar;15
16/03/1943;1943;mar;16
17/03/1943;1943;mar;17
18/03/1943;1943;mar;18
19/03/1943;1943;mar;19
20/03/1943;1943;mar;20
21/03/1943;1943;mar;21
22/03/1943;1943;mar;22
23/03/1943;1943;mar;23
24/03/1943;1943;mar;24
25/03/1943;1943;mar;25
26/03/1943;1943;mar;26
27/03/1943;1943;mar;27
28/03/1943;1943;mar;28
29/03/1943;1943;mar;29
30/03/1943;1943;mar;30
31/03/1943;1943;mar;31
01/04/1943;1943;abr;1
02/04/1943;1943;abr;2
03/04/1943;1943;abr;3
04/04/1943;1943;abr;4
05/04/1943;1943;abr;5
06/04/1943;1943;abr;6
07/04/1943;1943;abr;7
08/04/1943;1943;abr;8
09/04/1943;1943;abr;9
10/04/1943;1943;abr;10
11/04/1943;1943;abr;11
12/04/1943;1943;abr;12
13/04/1943;1943;abr;13
14/04/1943;1943;abr;14
15/04/1943;1943;abr;15
16/04/1943;1943;abr;16
17/04/1943;1943;abr;17
18/04/1943;1943;abr;18
19/04/1943;1943;abr;19
